_id,promptMode,logicPuzzleExp,gridPuzzleExp,levelMode,tutorialSlide,timeSpent,tutorialTime,totalGames
689b85af9edb233177c6e9e3,none,2,2,scaffolded,10,430950,92422,3
689b85d6828dd5d2422e70e2,generic,1,2,scaffolded,10,227074,200749,2
689b85e02b3db56c9ca8f97e,none,1,1,scaffolded,10,607231,177670,3
689b85e59edb233177c6e9e4,generic,2,2,not_scaffolded,10,292515,47167,3
689b85fba0fabb1a65c0995e,generic,2,2,scaffolded,10,894760,325769,3
689b860118c78be5400846f8,none,2,2,hub,10,966364,295590,1
689b8614e43f28b7845d3cc9,none,2,1,hub,-1,0,-1,0
689b8616e277e93fe1ec8cc5,relevant,1,1,hub,10,256805,229591,1
689b89125b369118e14b6039,relevant,2,1,scaffolded,10,11048,18035,1
689b894a5b369118e14b603a,relevant,2,1,scaffolded,10,166961,106066,3
689b89a4e277e93fe1ec8cc8,none,2,2,scaffolded,10,311372,84805,1
689b8f7dc87adf49dde11951,relevant,2,1,not_scaffolded,10,2253812,459933,3
689b9e9c6bc6c32c3cb589b7,none,2,1,hub,10,323355,29548,1
689b9e9f7163696805b56fb3,relevant,2,2,scaffolded,10,280691,40609,3
689b9e9fa0fabb1a65c09966,relevant,2,1,hub,10,39279,21026,1
689b9ea0bf57147ba865e10f,none,1,2,not_scaffolded,10,571884,18841,3
689b9ea8bf57147ba865e110,none,1,1,not_scaffolded,10,461295,322107,3
689b9eab828dd5d2422e70e6,generic,2,2,scaffolded,10,395671,72947,3
689b9eae828dd5d2422e70e7,generic,2,2,scaffolded,10,169471,60529,3
689b9eaf828dd5d2422e70e8,relevant,1,1,not_scaffolded,10,121638,132865,1
689b9eb0828dd5d2422e70e9,relevant,1,1,scaffolded,10,497029,49828,3
689b9ebe828dd5d2422e70ed,none,2,2,not_scaffolded,10,1215187,48640,3
689b9ec1828dd5d2422e70ee,none,2,1,scaffolded,10,194765,79967,2
689b9ec4828dd5d2422e70ef,relevant,2,2,hub,10,1707567,95709,1
689b9ec5a86babb31d8ead96,generic,2,2,hub,10,244647,74892,1
689b9ec76b15704ebfa4ae85,relevant,1,2,hub,10,103449,106255,1
689b9ecd6b15704ebfa4ae87,relevant,2,2,scaffolded,10,21801,48517,1
689b9efd6b15704ebfa4ae8c,relevant,2,2,hub,10,192424,29262,1
689b9f10a0fabb1a65c09967,relevant,2,1,not_scaffolded,10,119663,123692,3
689b9f26bf57147ba865e111,relevant,2,1,not_scaffolded,10,306925,28781,3
689b9f70828dd5d2422e70f2,none,2,1,not_scaffolded,10,643665,40940,3
689ba00b18c78be540084709,none,1,1,hub,-1,0,-1,0
689ba0197163696805b56fb4,none,2,1,not_scaffolded,10,247852,30958,3
689ba03aa0fabb1a65c0996d,none,2,2,scaffolded,10,517147,66712,3
689ba1029edb233177c6e9ee,relevant,2,2,hub,-1,0,-1,0
689ba99818c78be54008470d,none,2,2,not_scaffolded,10,458320,76696,3
689bb10b6bc6c32c3cb589bf,none,2,2,not_scaffolded,10,3173,9959,1
689bb118a71d0d49580fc5d9,relevant,1,1,scaffolded,10,1304194,53919,3
689bb119a71d0d49580fc5da,generic,2,2,scaffolded,10,2147940,56930,3
689bb11aa71d0d49580fc5db,generic,2,2,hub,10,429263,830053,1
689bb11ba71d0d49580fc5dc,none,2,1,scaffolded,10,67041,247019,1
689bb1219edb233177c6e9f5,generic,2,1,scaffolded,10,384825,65010,3
689bb129c87adf49dde11956,none,2,1,hub,10,339472,71233,1
689bb12a5b369118e14b6042,generic,2,2,not_scaffolded,10,556814,61954,3
689bb1375b369118e14b6043,relevant,1,1,scaffolded,10,962272,144160,3
689bb13e828dd5d2422e70f5,none,1,1,hub,10,88173,78795,1
689bb13fbf57147ba865e115,relevant,1,1,not_scaffolded,10,756731,142608,3
689bb13f18c78be540084710,generic,1,1,not_scaffolded,10,303211,79491,2
689bb1457163696805b56fb6,relevant,2,1,hub,10,213844,31820,1
689bb1487163696805b56fb7,generic,2,2,scaffolded,10,387785,23647,3
689bb14b7163696805b56fb8,none,1,2,hub,10,247888,36747,1
689bb153e43f28b7845d3cd4,none,1,1,scaffolded,-1,0,-1,0
689bb1569edb233177c6e9f6,none,1,1,hub,10,42944,71073,1
689bb15b5b369118e14b6044,generic,1,1,hub,10,633727,65161,1
689bb1d8828dd5d2422e70f7,none,2,1,hub,10,270510,60376,1
689bb1df2b3db56c9ca8f98b,relevant,2,1,scaffolded,10,732831,152737,3
689bb2535b369118e14b6045,none,1,1,not_scaffolded,10,611013,87479,3
689bb2c7c87adf49dde1195a,none,2,2,hub,-1,0,-1,0
689bb2cc18c78be540084712,generic,1,1,not_scaffolded,10,1375659,70211,2
689bb3782b3db56c9ca8f98e,generic,1,1,hub,10,149455,209341,1
689bb994019f5c8e27d8525e,relevant,2,1,hub,10,421284,76793,1
689bc40218c78be540084714,relevant,2,1,not_scaffolded,10,785846,40605,3
689bc411bf57147ba865e11b,relevant,1,1,scaffolded,10,342089,55492,3
689bc4137163696805b56fbc,relevant,2,1,not_scaffolded,10,105078,96454,1
689bc4157163696805b56fbd,none,1,2,hub,10,107457,72006,1
689bc41b7163696805b56fbe,generic,1,1,scaffolded,10,528285,69614,3
689bc4242b3db56c9ca8f991,relevant,1,1,scaffolded,10,513488,96647,3
689bc429828dd5d2422e70fe,generic,2,2,hub,10,107824,59498,1
689bc430a86babb31d8eada7,none,2,2,not_scaffolded,10,443552,66307,3
689bc436a86babb31d8eada8,generic,2,1,scaffolded,10,807939,158469,3
689bc454828dd5d2422e7100,none,1,1,not_scaffolded,10,277495,159481,3
689bc459c87adf49dde1195b,none,1,2,hub,10,318945,172829,1
689bc459c87adf49dde1195c,relevant,1,1,not_scaffolded,10,355962,72933,3
689bc46ce277e93fe1ec8cd6,generic,2,1,hub,10,484903,77884,1
689bc475a71d0d49580fc5de,none,1,1,scaffolded,10,167964,77231,3
689bc4b8a71d0d49580fc5df,generic,2,1,scaffolded,10,104750,199931,1
689bc4f27163696805b56fc0,none,2,1,not_scaffolded,10,202692,68059,3
689bc526019f5c8e27d8525f,relevant,1,1,not_scaffolded,10,168655,802575,1
689bc63cc87adf49dde11964,relevant,2,2,hub,-1,0,-1,0
689bc6429edb233177c6ea00,generic,2,1,hub,10,39678,47828,1
689bc6b1c87adf49dde11965,none,1,1,hub,10,81883,132051,1
689bc6d9a86babb31d8eadaa,none,2,1,hub,-1,0,-1,0
689bc7a5c87adf49dde11968,none,1,1,not_scaffolded,10,450383,86654,3
689bc93cbf57147ba865e11d,none,2,2,hub,10,221204,175755,1
689bcca3bf57147ba865e11e,generic,1,1,not_scaffolded,10,29403,14798,1
689ca6e3bf57147ba865e11f,generic,2,2,not_scaffolded,10,141205,25620,3
689ca6e6019f5c8e27d85260,relevant,2,2,not_scaffolded,10,522363,54516,3
689ca6eac87adf49dde11969,relevant,2,1,scaffolded,10,493099,52925,3
689ca6ea9edb233177c6ea03,relevant,1,1,hub,10,411906,79151,1
689ca6ec9edb233177c6ea04,none,1,2,scaffolded,-1,0,-1,0
689ca6f3e277e93fe1ec8ce3,relevant,1,1,scaffolded,10,197199,45916,3
689ca6fda0fabb1a65c09974,none,1,1,scaffolded,10,219408,75022,3
689ca6ffa0fabb1a65c09975,generic,1,1,not_scaffolded,10,111495,36803,1
689ca702a0fabb1a65c09976,none,1,1,scaffolded,-1,0,-1,0
689ca704a0fabb1a65c09977,relevant,2,2,not_scaffolded,10,133577,144589,1
689ca70c6bc6c32c3cb589c5,none,1,1,hub,10,203885,36976,1
689ca714e43f28b7845d3ce0,relevant,2,2,scaffolded,10,974193,160857,3
689ca717bf57147ba865e120,none,1,1,not_scaffolded,10,1895239,79723,3
689ca73418c78be54008471a,none,2,1,hub,10,26979,37364,1
689ca73918c78be54008471b,none,1,1,hub,10,109043,675583,1
689ca748c87adf49dde1196b,relevant,2,1,hub,10,1723255,52054,1
689ca7722b3db56c9ca8f995,none,2,1,scaffolded,10,567969,52850,3
689ca7b5e277e93fe1ec8ce4,none,2,1,not_scaffolded,10,1832378,239688,3
689ca7df828dd5d2422e7106,generic,2,2,scaffolded,-1,0,-1,0
689ca86bbf57147ba865e124,relevant,2,2,not_scaffolded,10,575726,188362,2
689ca8c2019f5c8e27d85263,none,2,2,hub,10,231552,210755,1
689ca8f518c78be540084720,none,1,1,scaffolded,10,339108,45693,3
689ca8f818c78be540084721,none,2,1,scaffolded,10,451720,14339,3
689ca8fde277e93fe1ec8ce8,relevant,1,2,hub,10,287127,62484,1
689cad946b15704ebfa4aea2,generic,2,1,not_scaffolded,10,308185,86656,3
689cadd0828dd5d2422e710f,generic,2,2,scaffolded,10,223949,80638,3
689cb8055b369118e14b6057,none,1,2,scaffolded,10,19418,27028,1
689cb80f019f5c8e27d85266,none,2,2,not_scaffolded,10,350128,58173,3
689cb810a86babb31d8eadb3,none,2,1,hub,10,262352,70319,1
689cb837e43f28b7845d3ce9,relevant,2,1,scaffolded,10,358866,34583,3
689cb83ae277e93fe1ec8cf0,generic,2,1,not_scaffolded,10,476457,123780,3
689cb847e277e93fe1ec8cf1,none,2,1,hub,10,286292,54246,1
689cb8812b3db56c9ca8f99c,generic,1,1,scaffolded,10,872403,68746,3
689cb893a0fabb1a65c0997c,none,1,1,not_scaffolded,10,1249591,96252,3
689cb8986bc6c32c3cb589c6,generic,2,1,scaffolded,10,1949021,113370,3
689cb89f6bc6c32c3cb589c7,relevant,1,1,scaffolded,10,485856,243707,1
689cb8b5828dd5d2422e7110,none,1,1,hub,10,162814,38605,1
689cb8dca0fabb1a65c0997e,none,2,1,not_scaffolded,10,416420,68128,3
689cb8e018c78be540084726,none,1,1,not_scaffolded,10,209869,188345,1
689cb917c87adf49dde11973,generic,2,1,not_scaffolded,10,1407834,384551,3
689cb927e43f28b7845d3cea,none,2,2,not_scaffolded,10,554690,461464,3
689cb92de43f28b7845d3ceb,generic,1,1,hub,10,387742,330141,1
689cb9b65b369118e14b6059,generic,2,1,not_scaffolded,10,319364,72487,3
689cba54a0fabb1a65c09981,relevant,2,1,scaffolded,-1,0,-1,0
689cbb235b369118e14b605a,generic,1,1,hub,-1,0,-1,0
689cbb5de43f28b7845d3cec,generic,1,1,not_scaffolded,10,9395,51210,1
689cbbc5e43f28b7845d3ced,relevant,1,2,hub,10,189653,54276,1
689cbc0abf57147ba865e129,relevant,2,1,not_scaffolded,10,271092,98583,3
689cbc366bc6c32c3cb589c9,generic,1,1,hub,10,224687,75552,1
689cbcc9e43f28b7845d3cef,none,1,1,not_scaffolded,10,80003,39719,1
689cc0895b369118e14b605d,none,1,1,scaffolded,-1,0,-1,0
689cc1e4a71d0d49580fc5ef,none,2,1,hub,10,276193,107172,1
689ce00fa71d0d49580fc5f0,none,1,1,not_scaffolded,-1,0,-1,0
689ce010a71d0d49580fc5f1,relevant,2,2,hub,10,264011,33553,1
689ce016bf57147ba865e12b,generic,1,2,not_scaffolded,10,346858,91285,3
689ce0169edb233177c6ea10,none,2,1,not_scaffolded,10,323242,128884,3
689ce03d019f5c8e27d8526c,none,1,1,not_scaffolded,10,191711,64885,3
689ce04d828dd5d2422e7114,none,2,1,not_scaffolded,-1,0,-1,0
689ce057a0fabb1a65c09984,none,1,1,not_scaffolded,10,291626,64153,2
689ce05bc87adf49dde11978,relevant,1,1,not_scaffolded,-1,0,-1,0
689ce0646b15704ebfa4aea8,generic,2,1,scaffolded,10,601024,30303,3
689ce068bf57147ba865e12c,generic,1,1,hub,10,147669,155916,1
689ce06cbf57147ba865e12d,relevant,2,1,scaffolded,10,415583,76796,3
689ce0702b3db56c9ca8f9a6,generic,1,1,scaffolded,10,338562,230817,3
689ce072a71d0d49580fc5f3,relevant,2,1,hub,10,689816,84163,1
689ce0736bc6c32c3cb589cc,relevant,2,1,not_scaffolded,10,540534,34963,3
689ce07a6bc6c32c3cb589cd,generic,1,1,scaffolded,10,646833,70267,3
689ce07d7163696805b56fdd,none,1,1,hub,10,291011,86491,1
689ce083828dd5d2422e7116,none,1,1,hub,-1,0,-1,0
689ce089c87adf49dde11979,none,2,2,not_scaffolded,10,467198,223308,3
689ce095019f5c8e27d8526d,generic,1,1,hub,-1,0,-1,0
689ce0c018c78be54008472f,relevant,1,1,not_scaffolded,10,90156,13258,3
689ce0c46b15704ebfa4aea9,generic,2,2,scaffolded,10,957167,53039,3
689ce0f3c87adf49dde1197b,none,2,2,not_scaffolded,10,404460,89631,3
689ce132bf57147ba865e12e,relevant,1,1,hub,10,67919,79672,1
689ce2557163696805b56fe3,generic,1,1,not_scaffolded,10,112445,18758,2
689ce31ba71d0d49580fc5fa,none,2,1,scaffolded,10,1191500,264501,3
689ce3506b15704ebfa4aeae,generic,2,2,scaffolded,10,292427,1555533,3
689ce371a71d0d49580fc5fb,generic,2,1,hub,10,894741,42575,1
689ce943bf57147ba865e132,relevant,1,1,not_scaffolded,10,192592,61005,1
689ce946e277e93fe1ec8cfe,none,1,1,not_scaffolded,10,381596,58487,3
689ce9475b369118e14b6064,relevant,1,1,scaffolded,-1,0,-1,0
689ce9487163696805b56fe5,none,1,1,scaffolded,10,472083,50990,3
689ce94a7163696805b56fe6,none,1,1,scaffolded,10,434336,62521,3
689ce94f7163696805b56fe7,none,2,2,hub,10,218972,63568,1
689ce9517163696805b56fe8,generic,1,1,scaffolded,10,110678,47829,3
689ce9547163696805b56fe9,generic,2,1,hub,10,571149,95419,1
689ce95d6b15704ebfa4aeaf,generic,1,2,hub,10,633211,70208,1
689ce966a71d0d49580fc5fd,relevant,2,1,hub,10,374727,155189,1
689ce973a0fabb1a65c0998a,none,2,1,scaffolded,10,1776924,54992,3
689ce9732b3db56c9ca8f9ad,none,1,1,scaffolded,10,187156,78725,3
689ce984019f5c8e27d85272,relevant,2,1,scaffolded,10,865208,290647,3
689ce99c828dd5d2422e7119,generic,1,1,not_scaffolded,10,544200,79608,3
689ce9a06bc6c32c3cb589d6,relevant,2,2,hub,10,985904,51078,1
689ce9a5a71d0d49580fc5fe,relevant,2,1,hub,10,408296,272756,1
689ce9ab18c78be540084732,none,1,1,scaffolded,10,1127735,499234,3
689ce9ad18c78be540084733,generic,2,1,not_scaffolded,10,242944,89201,3
689ce9b8e277e93fe1ec8cff,generic,2,2,hub,10,209495,56726,1
689ce9d518c78be540084734,generic,1,1,hub,10,0,38577,1
689cea3c18c78be540084735,generic,2,1,not_scaffolded,10,452283,74100,3
689ceeef6bc6c32c3cb589df,none,2,2,scaffolded,10,37268,14903,1
689ceef1a71d0d49580fc603,generic,1,1,scaffolded,10,37391,99785,1
689ceef2a71d0d49580fc604,generic,2,2,scaffolded,10,366872,54801,3
689ceef3019f5c8e27d85278,relevant,2,2,scaffolded,10,79491,54128,2
689ceef9019f5c8e27d85279,generic,1,1,hub,10,302443,37836,1
689ceefaa86babb31d8eadc5,generic,2,2,hub,10,323661,53404,1
689ceefba86babb31d8eadc6,relevant,1,1,not_scaffolded,10,0,30832,1
689ceefc18c78be54008473b,none,2,1,scaffolded,10,362065,91135,3
689ceefcc87adf49dde1198c,none,1,1,hub,10,140008,58246,1
689ceefcc87adf49dde1198d,relevant,1,1,hub,10,378839,97013,1
689ceefdbf57147ba865e139,generic,2,1,not_scaffolded,10,408450,63952,3
689cef02e277e93fe1ec8d06,relevant,1,1,scaffolded,10,207550,28094,3
689cef04e277e93fe1ec8d07,generic,1,1,scaffolded,10,388764,109794,3
689cef09a0fabb1a65c0998d,none,2,1,scaffolded,10,378652,52832,3
689cef10a0fabb1a65c0998e,generic,1,1,not_scaffolded,10,0,48237,1
689cef13a0fabb1a65c0998f,none,1,1,scaffolded,10,122067,36150,3
689cef17e43f28b7845d3d00,none,2,1,hub,10,765649,110216,1
689cef226bc6c32c3cb589e0,generic,1,2,scaffolded,10,406971,189356,3
689cef23a71d0d49580fc605,generic,1,2,not_scaffolded,10,620701,51086,3
689cef47bf57147ba865e13d,relevant,2,1,not_scaffolded,10,483348,35849,3
689cef5ea86babb31d8eadc7,relevant,2,1,scaffolded,10,557529,63888,3
689cef5f2b3db56c9ca8f9b1,generic,1,1,scaffolded,10,1076798,54661,3
689cef8fa71d0d49580fc607,generic,2,2,not_scaffolded,10,1123456,531212,3
689cefaa2b3db56c9ca8f9b2,none,1,1,scaffolded,10,413413,74367,3
689cefb27163696805b56ff1,generic,2,1,not_scaffolded,10,302502,36458,3
689cefcf6bc6c32c3cb589e1,relevant,1,1,scaffolded,10,154457,34040,3
689cefd99edb233177c6ea1b,relevant,1,1,not_scaffolded,10,65650,255321,3
689ceff07163696805b56ff4,none,2,2,not_scaffolded,10,2423366,197357,3
689cf048828dd5d2422e7120,generic,1,2,scaffolded,10,751597,77692,3
689cf2496bc6c32c3cb589e7,generic,2,2,not_scaffolded,10,133798,8640,3
689cf291e277e93fe1ec8d0e,none,2,1,not_scaffolded,10,369577,44396,3
689cf87de277e93fe1ec8d0f,relevant,1,1,hub,10,306058,95873,1
