isSolved,promptMode,What aspects (if any) of this puzzle were easy?,numClears,levelMode,numIncorrect,userId,This was an activity that I couldn't do very well,How confident are you in solving similar types of puzzles/problems?,Did solving this puzzle make you feel smart? Why or why not?,"After working at this activity for awhile, I felt pretty competent",_id,The mental challenges in this puzzle had an impact on how I played.,The puzzle stimulated my brain.,"I think I did pretty well at this activity, compared to other people",The puzzle made me draw on all of my mental resources.,I was pretty skilled at this activity,The puzzle required a lot of mental gymnastics.,The puzzle was cognitively demanding.,numAttempts,pid,I had to think very hard when playing the puzzle.,logicExp,I think I am pretty good at this activity,totalTime,I am satisfied with my performance at this task,What aspects (if any) of this puzzle were hard?,gridExp,clearMistakes,This puzzle doesn’t require a lot of mental effort.,numCorrect
False,generic,,0,scaffolded,0,689b59d06bc6c32c3cb589a7,7,I generally think these seem pretty simple. (I have seen ads for games similar to this),"No, but it also did not make me feel less smart either. It's a silly little puzzle, I think I needed to see someone do one before making my own attempt.",2,689b5a0c7163696805b56fa3,6,7,1,5,1,7,6,1,spoke1.3,7,1,1,27335,1,"I felt a little unaware of where to begin. I think the instructions were a bit confusing, or I have just never done this type of puzzle before and had no idea what I was doing.",2,False,2,0
False,generic,,0,scaffolded,0,689b59d06bc6c32c3cb589a7,,,,,689b5ab09edb233177c6e9d0,,,,,,,,1,spoke2.2,,1,,12541,,,2,False,,1
True,relevant,There were only a few choices so it was easy to elliminate.,0,not_scaffolded,0,689b59d16bc6c32c3cb589a8,1,Usually not very confident.,It made me feel smart because I could solve it.,7,689b59f9019f5c8e27d85243,1,3,6,1,6,1,1,1,help1.1,1,2,6,62322,7,Not really any,2,False,6,16
True,relevant,All of it,0,not_scaffolded,0,689b59d16bc6c32c3cb589a8,1,Feeling more confident now than in the past.  ,A little- I am usually not good at these puzzles.,7,689b5a9b6b15704ebfa4ae72,1,1,7,1,7,1,1,1,help2.3,1,2,7,920202,7,Nothing,2,False,7,15
False,relevant,It was harder with three charts to fill out instead of just one.  ,0,not_scaffolded,3,689b59d16bc6c32c3cb589a8,7,Not very- I can never get these right.,Pretty ignorant!,2,689b5e65bf57147ba865e0f9,7,7,2,7,2,7,7,1,hub2.1,7,2,2,209661,2,There were many different variables.,2,False,1,21
False,generic,"very brain stimulating, not easy.",0,scaffolded,4,689b59d25b369118e14b6023,7,not confident at all.,"no, it made me feel like I couldn't do it when other people could.",2,689b59e19edb233177c6e9cc,6,7,1,6,1,7,6,1,spoke1.3,7,1,1,26485,2,picking a spot ,1,False,7,0
False,generic,"very brain stimulating, not easy.",0,scaffolded,0,689b59d25b369118e14b6023,7,not confident at all.,"no, it made me feel like I couldn't do it when other people could.",2,689b5a596bc6c32c3cb589aa,6,7,1,6,1,7,6,1,spoke1.3,7,1,1,0,2,picking a spot ,1,False,7,0
True,none,reading the clues and understanding them ,0,scaffolded,0,689b59e09edb233177c6e9cb,1,im not very confident about trying more puzzels ,cause i always underestimate myself.,7,689b5a2d9edb233177c6e9cd,4,7,4,6,5,4,1,1,spoke1.1,3,1,4,117604,7,nothing that i can think of ,1,False,2,4
True,none,reading and figuring out the anwsers,0,scaffolded,0,689b59e09edb233177c6e9cb,2,not very confident,still doubting my skills ,6,689b5b217163696805b56fa8,4,6,4,4,4,5,4,1,spoke1.3,5,1,6,61253,6,none i can think of ,1,False,4,4
True,none,the reading of clues,1,scaffolded,0,689b59e09edb233177c6e9cb,3,not very ,kinda ,4,689b5bc2019f5c8e27d85249,4,7,2,7,3,7,7,1,hub2.2,7,1,2,304842,7,figuring out all the chart marks ,1,False,1,12
False,none,It was just too hard.,0,hub,4,689b59eba71d0d49580fc5bb,7,No confident at all. ,No.  I couldn't. ,1,689b5a24e43f28b7845d3cbb,7,7,1,7,1,7,7,1,hub2.3,7,1,1,424671,1,All of it. Trying to figure out what came when and what it was.,1,False,1,41
False,generic,It was hard because both options seemed reasonable.,1,not_scaffolded,0,689b59ebe43f28b7845d3cba,2,"I’m not very confident, because I found this one challenging and would probably struggle with similar puzzles.","No, it didn’t really make me feel smart because I found it tricky and wasn’t confident in my answers.",3,689b5a29a0fabb1a65c09954,5,5,2,5,2,5,5,1,help1.1,5,2,2,32988,2, The hard part was figuring out where to place the X’s and O’s.,1,False,2,0
False,generic,,0,not_scaffolded,0,689b59ebe43f28b7845d3cba,,,,,689b5b4b6bc6c32c3cb589ab,,,,,,,,1,help2.1,,2,,6868,,,1,False,,0
True,generic,the hints made it easy,1,not_scaffolded,0,689b59ef7163696805b56fa2,2,pretty confidant,a little because it makes me reach conclusions,6,689b5a12e277e93fe1ec8cbb,3,5,5,3,4,3,3,1,help1.2,2,1,6,147637,4,none,1,False,3,5
True,generic,the hints made it easier ,0,not_scaffolded,0,689b59ef7163696805b56fa2,5,confident,a little ,5,689b5aef6b15704ebfa4ae74,4,6,4,3,5,2,5,1,help2.3,2,1,4,96294,5,figuring out the shade for each plant,1,False,3,4
False,generic,was not easy ,0,not_scaffolded,8,689b59ef7163696805b56fa2,3,not very confident,no i could not solve it ,4,689b5b8ec87adf49dde11941,5,5,4,5,3,5,5,1,hub2.1,5,1,3,129164,3,it was too many options ,1,False,5,2
False,relevant,Some of the initial clues were really simple to figure out,0,hub,4,689b59fcbf57147ba865e0f3,4,I enjoy them but don't know whether I'm any good at it.,"No, I failed to finish it.",3,689b5a3818c78be5400846eb,5,7,3,5,4,6,6,1,hub2.1,6,2,5,434919,4,It didn't feel like there were enough clues to make solid guesses,2,False,4,28
False,relevant,,0,scaffolded,0,689b5a04a86babb31d8ead81,,,,,689b5a30bf57147ba865e0f4,,,,,,,,1,spoke1.1,,2,,0,,,1,False,,0
False,none,"The hints were clearly stated and logically connected. For example, there were direct rules like ""Alfredo goes on Bowtie."" 

It was easy to eliminate impossible pairings; for instance, Shells cannot go with Tomato.",0,not_scaffolded,2,689b5a19a71d0d49580fc5bc,7,Very confident. This type of systematic elimination works well with structured problem solving.,"Yes, figuring out the right pairings from a few clues needed logical thinking and careful attention to detail.",6,689b5b6018c78be5400846ed,1,7,4,7,2,7,7,1,help1.1,7,2,3,743979,5,"               Resolving the ""either/or"" hint (Hint 1) required checking both possibilities. This took some time. 

Ensuring there were no conflicts between hints, such as Shells avoiding Tomato and Alfredo, needed careful verification.",1,False,1,0
False,none,,0,not_scaffolded,8,689b5a19a71d0d49580fc5bc,,,,,689b5f9c5b369118e14b602a,,,,,,,,1,help2.2,,2,,32449,,,1,False,,7
False,none,None,0,not_scaffolded,0,689b5a616b15704ebfa4ae6e,7,Very unconfident. ,"No, I was not able to solve it and wasnt even close which was frustrating.",1,689b5a98c87adf49dde11940,7,7,1,7,1,7,6,1,help1.1,7,2,1,42865,1,"All of it, I felt like I was reading another language.",1,False,1,0
False,none,none,0,not_scaffolded,0,689b5a616b15704ebfa4ae6e,7,not confident at all,I didnt solve it so felt dumb,1,689b5b3fe43f28b7845d3cbc,7,7,1,7,1,7,7,1,help2.1,7,2,1,36900,1,all of them,1,False,1,4
False,none,none,0,not_scaffolded,0,689b5a616b15704ebfa4ae6e,7,not confident at all,i didnt solve it and felt dumb,1,689b5baf828dd5d2422e70d2,7,7,1,7,1,7,7,1,hub2.1,7,2,1,161935,1,all of them,1,False,1,0
False,none,,0,scaffolded,0,689b5a6aa86babb31d8ead82,,,,,689b5a86a86babb31d8ead85,,,,,,,,1,spoke1.2,,2,,0,,,1,False,,0
True,relevant,"Some of the initial answers, in particular regarding the carrot, were pretty clearly spelled out.",0,hub,0,689b5ae4e277e93fe1ec8cbc,1,I am pretty confident.,"Yes, I felt that I solved it relatively quickly.",6,689b5b0e2b3db56c9ca8f96e,6,7,6,5,6,5,6,1,hub2.2,6,2,6,142285,7,Determining the initial order of the ingredients.,2,False,6,24
True,generic,The interface was easy to use.,3,scaffolded,0,689b5b316b15704ebfa4ae76,4,I think that going forward I can do these puzzles faster.,"No, I felt like I should have done this faster. ",6,689b5b7c9edb233177c6e9d1,5,7,3,5,3,5,5,1,spoke1.3,7,2,3,936049,4,The hints were hard to follow.,1,False,1,16
True,generic,The interface was very easy.,0,scaffolded,0,689b5b316b15704ebfa4ae76,4,I am feeling more confident the more I do.,"No, I feel like I should be faster.",4,689b5fe06bc6c32c3cb589ae,5,6,4,5,4,6,6,1,spoke2.2,6,2,4,175718,5,It was hard working out the hints.,1,False,2,10
True,generic,There wasn't much about this puzzle that was easy.,0,scaffolded,0,689b5b316b15704ebfa4ae76,5,My confidence is going down as these are getting harder.,"No, it made me feel slow. I should have figured it out faster.",3,689b61555b369118e14b602c,7,7,3,7,3,6,7,1,hub2.2,7,2,3,616347,3,The layout was hard to understand.,1,False,7,45
True,none,Few options and info to go off of,0,not_scaffolded,0,689b5b875b369118e14b6025,1,Very,It felt too easy,3,689b5ba6019f5c8e27d85248,2,3,3,3,3,1,1,1,help1.3,1,2,3,52627,5,None,2,False,7,16
True,none,Same as before,0,not_scaffolded,0,689b5b875b369118e14b6025,1,Very,"No, too easy",4,689b5c0da86babb31d8ead87,1,1,4,1,4,1,1,1,help2.2,1,2,4,40872,4,None,2,False,7,16
True,none,Still relatively few options,1,not_scaffolded,0,689b5b875b369118e14b6025,1,Very,Slightly more smart,4,689b5c4ea86babb31d8ead88,4,4,4,3,4,3,4,1,hub2.1,3,2,4,213956,4,Less straightforward info,2,False,2,48
False,none,,0,not_scaffolded,0,689b5baf828dd5d2422e70d1,,,,,689b5bb6828dd5d2422e70d3,,,,,,,,1,help1.2,,1,,0,,,2,False,,0
False,generic,The relationships that I was instructed they were connected without much thinking.,0,not_scaffolded,0,689b5c0318c78be5400846ee,1,I am confident given enough instructions.,Yes. I felt I could easily make connections given substantial information.,6,689b5dbc7163696805b56fa9,5,6,5,5,4,5,6,1,help1.1,5,2,4,219303,6,Having to make connections given limited information.,1,False,2,3
False,generic,It had no easy parts,0,not_scaffolded,3,689b5c0318c78be5400846ee,3,Slightly confident.,Slightly yes. I did not feel very confident about my solution.,5,689b6074828dd5d2422e70d4,6,6,4,6,4,7,7,1,help2.1,7,2,4,675081,5,Making connections was difficult as there were no obvious connections.,1,False,1,4
False,generic,All were aspects were challenging.,0,not_scaffolded,8,689b5c0318c78be5400846ee,2,Somewhat confident.,"Yes, getting a connection out of nowhere felt smart.",4,689b6427e277e93fe1ec8cc0,6,7,5,7,5,7,7,1,hub2.2,7,2,4,543983,5,Making connections was challenging.,1,False,1,4
False,none,,0,not_scaffolded,11,689b606ebf57147ba865e0fb,4,,,4,689b60b0e277e93fe1ec8cbf,4,4,4,4,4,4,4,1,help1.1,4,2,4,130059,4,,1,False,4,5
True,none,all of it,0,not_scaffolded,0,689b606ebf57147ba865e0fb,3,pretty good,not particurarly,2,689b6153bf57147ba865e0fd,2,2,2,2,3,1,2,1,help2.2,1,2,4,104143,3,none,1,False,2,13
False,none,none,0,not_scaffolded,6,689b606ebf57147ba865e0fb,7,not really,not ,7,689b61ff2b3db56c9ca8f971,7,7,7,7,2,7,7,1,hub2.3,7,2,7,413305,7,yes,1,False,7,4
False,relevant,,0,hub,2,689b636b7163696805b56fab,,,,,689b677ca86babb31d8ead89,,,,,,,,1,hub2.2,,1,,78288,,,1,False,,0
True,none,"It's very similar to nonograms, just more with words and descriptions rather than numbers.",0,not_scaffolded,0,689b69b62b3db56c9ca8f972,1,"Somewhat, it takes me a while to figure some of them out.","I already played several nonogram video games (known as Picross for Nintendo DS, 3DS, Switch, and PC) so I already had an understanding of it, but doing this with words is new and that I like the challenge a bit.",5,689b6a39828dd5d2422e70d8,3,4,5,1,5,1,1,1,help1.1,7,2,5,39642,5,"From this particular one, nothhing really.",1,False,4,4
True,none,,0,not_scaffolded,0,689b69b62b3db56c9ca8f972,,,,,689b6ad7a86babb31d8ead8c,,,,,,,,1,help2.3,,2,,31507,,,1,False,,4
True,generic,"I think the fact that there were only 4 selections made it a bit easier. If it had been a huge grid, it probably would have taken me a long time.",0,not_scaffolded,0,689b69bec87adf49dde11944,4,I'm only average confident because it depends on how complex the next puzzle(s)/problem(s) are/would be.,"Not necessarily. I don't feel stupid, but I din't think it was that challenging. ",3,689b69ed2b3db56c9ca8f973,2,5,3,1,3,3,4,1,help1.2,3,2,3,59652,4,"I don't think it was hard, just had to read carefully to understand. ",1,False,4,5
True,generic,Similar to the first one. It was fairly straight forward with not a lot of options.,0,not_scaffolded,0,689b69bec87adf49dde11944,4,I'll give it my best shot.,"No, not specifically. ",4,689b6a99c87adf49dde11946,3,4,4,3,3,3,3,1,help2.2,3,2,4,54881,5,"None, really. ",1,False,5,7
True,generic,"This was much more challenging, actually. It was only easy when the sentences were spelled out pretty openly. ",0,not_scaffolded,0,689b69bec87adf49dde11944,4,Not very.,"Not smart, but not dumb. ",3,689b6b0fa71d0d49580fc5c2,4,5,3,5,4,5,5,1,hub2.3,5,2,3,413935,5,It was a tricky one with lots of narrowing down the options,1,False,3,46
False,none,I really did not understand the x and o portion. ,2,not_scaffolded,0,689b69c29edb233177c6e9d6,7,Not at all. ,Absolutely not; felt lost ,1,689b69f5828dd5d2422e70d6,3,4,1,3,1,6,4,1,help1.1,3,1,1,50851,1,I did not understand how to arrange the format. ,1,False,3,0
False,none,"Honestly, figuring it out would not be hard if I understood how to do the x and o part on the bottom. ",0,not_scaffolded,1,689b69c29edb233177c6e9d6,7,I am not ,"no, becuase I am clueless. ",1,689b6a70a0fabb1a65c09957,2,3,1,2,1,3,3,1,help2.1,3,1,1,57105,1,I dont understand the point or what Im supposed to do. ,1,False,2,3
False,none,None ,0,not_scaffolded,3,689b69c29edb233177c6e9d6,7,Im not. ,No I didnt solve anything. ,1,689b6afb2b3db56c9ca8f977,2,2,1,2,1,2,2,1,hub2.1,2,1,1,74362,1,Why am I marking x and o again?,1,False,4,1
True,none,"I think the puzzle was mostly based upon process of elimination. Once it is understood that each column and row combination can only have one true and the rest of the combinations were false, it was easy enough to simply figure out what we knew from the hints and then discern the only possible combinations left.",0,not_scaffolded,0,689b69c29edb233177c6e9d7,4,I am confident I could solve puzzles of similar difficulty but probably not more difficult puzzles.,Solving this puzzle did not make me feel smart because I am not good at puzzles and I have a suspicion this puzzle was chosen for it's ease.,3,689b69f6828dd5d2422e70d7,2,3,4,2,4,1,2,1,help1.2,2,1,4,147655,7,There was nothing really hard about this particular puzzle.,1,False,5,15
True,none,The puzzle again comes down to simple process of elimination. This made it quite easy.,0,not_scaffolded,0,689b69c29edb233177c6e9d7,1,I could solve puzzles of such difficulty quite easily I think.,Solving this puzzle did not make me feel smart because it was simple.,4,689b6b84a0fabb1a65c09959,1,1,4,1,4,1,1,1,help2.2,1,1,7,56079,7,There was nothing really hard about this puzzle.,1,False,7,13
False,none,The rules of this puzzle weren't as clear as the previous two.,0,not_scaffolded,4,689b69c29edb233177c6e9d7,7,I am not,It did not,1,689b6c0e5b369118e14b6032,2,2,1,3,1,4,4,1,hub2.1,3,1,1,460040,1,Having to figure out what combination of true and false boxes were necessary to complete the puzzle,1,False,3,35
False,generic,"The easiest parts of the puzzle were when the answers were given. For example, it was stated that the carrots are mashed.",1,hub,8,689b69c7a0fabb1a65c09956,5,I am not confident in solving similar types of puzzles/problems. My mind does not work that way.,"I did not feel smart because I did not solve the puzzle. This is not my type of thing, but it was fun to try.",5,689b69f8e277e93fe1ec8cc1,6,6,5,4,2,6,6,1,hub2.2,6,2,3,298896,2,"The hard part of the puzzle were the facts that built upon each other. For example, the mushrooms come before the carrot, but we do not know when the carrot comes.",1,False,2,40
True,relevant,One of the hints gave the answer straight up which allowed me to piece together the rest from there,1,scaffolded,0,689b69cb7163696805b56fac,3,Moderately confident,I felt a little smar and accomplished after completing it,6,689b69fda86babb31d8ead8a,3,5,5,3,5,3,5,1,spoke1.3,3,2,6,132293,5,Making sure I wasn’t being redundant ,1,False,4,4
True,relevant,One of the hints gave the answer straight up which allowed me to piece together the rest from there,0,scaffolded,0,689b69cb7163696805b56fac,3,Moderately confident,I felt a little smar and accomplished after completing it,6,689b6afaa71d0d49580fc5c1,3,5,5,3,5,3,5,1,spoke1.3,3,2,6,20814,5,Making sure I wasn’t being redundant ,1,False,4,4
False,relevant,,0,scaffolded,0,689b69cb7163696805b56fac,5,,,3,689b6b2da86babb31d8ead8d,6,4,4,5,3,6,6,1,hub2.2,6,2,4,164287,3,,1,False,2,8
False,generic,None,0,not_scaffolded,3,689b69d37163696805b56fad,1,Not at all,"No, I feel dumb.",2,689b69ec18c78be5400846ef,6,7,1,5,1,6,6,1,help1.1,7,2,2,122054,1,The entire thing was hard.,1,False,6,1
False,generic,None,0,not_scaffolded,0,689b69d37163696805b56fad,2,not at all,"No, i felt dumb. It was hard",1,689b6a877163696805b56fb0,5,6,1,4,2,6,4,1,help2.3,5,2,6,87014,2,The entire thing,1,False,5,8
False,generic,None of it,0,not_scaffolded,1,689b69d37163696805b56fad,2,I'm not at all,"No, I felt dumb",1,689b6af79edb233177c6e9d9,5,4,1,4,1,6,5,1,hub2.1,6,2,1,91015,1,The entire thing was hard.,1,False,5,1
False,none,figuring out what goes where,0,scaffolded,6,689b69f2a71d0d49580fc5be,4,somewhat,yes to some extent,5,689b6a47a71d0d49580fc5c0,6,7,5,5,4,5,5,1,spoke1.2,6,1,3,50763,4,knowing where to place which mark,1,False,6,2
False,none,placing the one true mark,0,scaffolded,5,689b69f2a71d0d49580fc5be,3,somewhat,to some extent,5,689b6b1d6bc6c32c3cb589b0,5,5,4,6,5,6,6,1,spoke1.3,5,1,5,54569,4,it was hard figuring out what mark to place where,1,False,6,5
False,none,figuring out what ingredients in the hint section,0,scaffolded,10,689b69f2a71d0d49580fc5be,4,somewhat,to some extent,5,689b6be5bf57147ba865e102,6,5,5,5,3,7,7,1,hub2.1,6,1,5,127046,6,knowing where to place what mark where,1,False,1,9
False,relevant,,4,scaffolded,10,689b69f7bf57147ba865e0fe,,,,,689b6a962b3db56c9ca8f976,,,,,,,,1,spoke1.1,,2,,222263,,,1,False,,6
False,generic,The hints were pretty straightforward and easy to implement. ,0,hub,1,689b6a0ac87adf49dde11945,5,Not confident in this one. Moderately confident in general with puzzles,"No, i only solved the hints. They were basic logic. ",3,689b6a2e5b369118e14b602d,6,6,2,2,1,5,5,1,hub2.2,5,2,3,145772,1,"I needed the instructions next to me. I feel like at some point i got confused with what was left, and didn't remember how to continue. ",1,False,2,6
False,none,,0,scaffolded,1,689b6a0f7163696805b56fae,,,,,689b6a3a9edb233177c6e9d8,,,,,,,,1,spoke1.3,,1,,11886,,,1,False,,0
True,none,Everything was pretty easy because I followed the instructions.,2,hub,0,689b6a167163696805b56faf,1,I am very confident.,No it didn't. It was all about following instructions that were easy.,7,689b6a9f6bc6c32c3cb589af,1,7,7,1,7,1,3,1,hub2.1,2,2,7,206653,7,Nothing felt difficult.,2,False,7,12
True,relevant,Once I figured it out it was like aha moment,0,scaffolded,0,689b6a25a86babb31d8ead8b,1,pretty confident,"No, it was pretty easy",6,689b6a7d2b3db56c9ca8f974,3,4,4,2,5,3,3,1,spoke1.3,3,2,6,144152,6,none,2,False,4,4
True,relevant,once you can get at least 2 in the right order the other ones are easy,0,scaffolded,0,689b6a25a86babb31d8ead8b,2,good,a little bit,6,689b6b74c87adf49dde11949,2,2,6,2,6,2,2,1,spoke2.2,2,2,6,91554,6,none,2,False,6,4
False,relevant,none,0,scaffolded,2,689b6a25a86babb31d8ead8b,7,no,no,1,689b6c29828dd5d2422e70de,6,5,1,7,1,6,6,1,hub2.1,6,2,1,464986,1,all of it,2,False,1,4
False,none,none,1,hub,12,689b6a3da71d0d49580fc5bf,7,not confident at all,"not at all, it was very difficult which made me feel very far from smart",1,689b6c29828dd5d2422e70dd,7,7,1,7,1,7,7,1,hub2.3,7,1,1,733290,1,all aspects,1,False,1,36
False,generic,only the ones that were clearly indicated.,1,hub,0,689b6a61828dd5d2422e70d9,7,I suck at them apparently.  ,"No, I felt like a dummy",1,689b6aab6b15704ebfa4ae79,7,7,1,7,1,7,7,1,hub2.3,7,1,1,210385,1,Too many unknowns.,1,False,1,0
False,none,Nothing was easy,0,not_scaffolded,0,689b6a6dbf57147ba865e0ff,7,Not confident.,"No, because I'm not used to these kinds of puzzles.",1,689b6a7e18c78be5400846f0,4,5,1,7,1,4,7,1,help1.1,7,2,1,127764,1,Trying to figure out what goes where based on limited clues.,1,False,1,1
False,none,There were a few straight fowrard,0,not_scaffolded,2,689b6a6dbf57147ba865e0ff,7,Not confident.,"No, because I'm not used to this puzzle.",1,689b6b2e5b369118e14b602f,1,4,1,7,1,7,7,1,help2.3,7,2,1,44290,4,Many of the clues were had to understand.,1,False,1,2
False,none,Nothing was easy,0,not_scaffolded,0,689b6a6dbf57147ba865e0ff,7,Not confident,No because I'm not good at these.,1,689b6bcb9edb233177c6e9de,5,3,1,4,1,7,7,1,hub2.2,7,2,1,4156,1,I just found the added box difficult and I didn't want to have to deal with it.,1,False,1,0
False,relevant,,0,scaffolded,1,689b6aa8a0fabb1a65c09958,,,,,689b6ac918c78be5400846f1,,,,,,,,1,spoke1.2,,1,,3814,,,2,False,,0
False,relevant,,1,not_scaffolded,0,689b6acf18c78be5400846f2,,,,,689b6c28828dd5d2422e70dc,,,,,,,,1,help1.3,,2,,20617,,,1,False,,0
False,none,,1,not_scaffolded,0,689b6ad55b369118e14b602e,,,,,689b6c5ca0fabb1a65c0995a,,,,,,,,1,help1.2,,1,,29653,,,1,False,,0
True,relevant,Since there were only 4 options for each it was not hard to break down.,0,not_scaffolded,0,689b6ba018c78be5400846f4,1,Fairly,"Not really, it was pretty easy. ",5,689b6be7bf57147ba865e104,2,4,6,2,6,3,2,1,help1.1,1,2,7,143564,7,"Not hard, just had to read over clues a couple times. ",2,False,5,13
True,relevant,Only 4 options made it easy. ,0,not_scaffolded,0,689b6ba018c78be5400846f4,1,Very,"No, it was easy. ",4,689b6d0418c78be5400846f6,1,3,6,1,7,2,1,1,help2.2,1,2,7,82220,7,Nothing was hard. ,2,False,6,14
True,relevant,The clues were good.,1,not_scaffolded,0,689b6ba018c78be5400846f4,1,Fairly,"Sort of, since I had to start over at one point and read everything carefully. ",6,689b6dabe43f28b7845d3cc2,6,6,5,6,6,6,6,1,hub2.3,6,2,6,821632,7,Going over 3 graphs and looking for clues in the clues. ,2,False,2,46
False,relevant,no aspect was easy,2,not_scaffolded,2,689b6c2ce43f28b7845d3cc1,6,average,yes ,2,689b6dab2b3db56c9ca8f978,6,6,2,6,2,7,7,1,help1.2,7,1,3,214732,1,every aspect was hard,2,False,1,1
